Numéro de l'exécution,Numéro de l'itération,ID Solution Dominante,Cout de coupe intra,Cout de Coupe inter,Cout de coupe Normalisé,Fitness,Nbr contraintes violées,Nombre de cluster,Genotype,Phenotype 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 11 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
9,0,25,48,12,108,0.01,0,4,1 1 0 1 0 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
10,0,23,48,12,108,0.01,0,4,1 0 0 1 1 0 1 1 0 1 ,0 1 1 3 1 3 3 7 
